"AvgCarbon_gm2","SdCarbon_gm2","ClimateScenario","Species","Year"
57.0006762370676,19.8667378207797,"gfdl","Black Spruce","2006"
51.0698868312336,18.2542697144331,"gfdl","Black Spruce","2007"
53.8632383281481,19.0008894883419,"gfdl","Black Spruce","2008"
46.8996189503082,17.852760368317,"gfdl","Black Spruce","2009"
53.4064860549244,19.6576611244206,"gfdl","Black Spruce","2010"
56.7771324304254,19.1832187111414,"gfdl","Black Spruce","2011"
48.2933907169331,17.1769608319121,"gfdl","Black Spruce","2012"
58.0210794901344,17.6751756016457,"gfdl","Black Spruce","2013"
64.9853298664715,18.3907764054602,"gfdl","Black Spruce","2014"
55.80175074225,18.4304764363058,"gfdl","Black Spruce","2015"
62.3877932291301,18.7249681495698,"gfdl","Black Spruce","2016"
61.1277724929099,18.7517491426788,"gfdl","Black Spruce","2017"
60.0633522624074,17.2365304104655,"gfdl","Black Spruce","2018"
54.3611673018124,16.5741169648919,"gfdl","Black Spruce","2019"
52.0164244080445,18.5547175943586,"gfdl","Black Spruce","2020"
51.0513542879336,18.1171449035351,"gfdl","Black Spruce","2021"
64.0935246861817,16.9225600263217,"gfdl","Black Spruce","2022"
55.1969997188602,17.542718879499,"gfdl","Black Spruce","2023"
57.7746931365067,16.7318663753501,"gfdl","Black Spruce","2024"
67.0380442714449,20.0542151391892,"hist","Black Spruce","2000"
56.3596118272126,19.5874104802859,"hist","Black Spruce","2001"
55.993671169262,18.8628696334058,"hist","Black Spruce","2002"
54.4536440456531,19.937037626763,"hist","Black Spruce","2003"
56.5418567930547,19.1238994857552,"hist","Black Spruce","2004"
58.184464546808,19.4684975434668,"hist","Black Spruce","2005"
57.2209916911815,20.0337846418168,"hist","Black Spruce","2006"
51.0575133963409,18.9673889808414,"hist","Black Spruce","2007"
53.8102230590544,19.7956973367917,"hist","Black Spruce","2008"
46.8795183016593,18.1089255513397,"hist","Black Spruce","2009"
53.4064860549244,19.6576611244206,"hist","Black Spruce","2010"
56.7771324304254,19.1832187111414,"hist","Black Spruce","2011"
48.2933907169331,17.1769608319121,"hist","Black Spruce","2012"
58.0210794901344,17.6751756016457,"hist","Black Spruce","2013"
